[14:23:33]	INFO    | Creating GLFW Window
[14:23:36]	SUCCESS | Loaded texture "Assets/none.png"
[14:23:36]	INFO    | + Loading Shaders "Resource/Shader/PostProcess.shad"
[14:23:36]	SUCCESS | Vertex Shader ->	Successfully compiled
[14:23:36]	SUCCESS | Fragment Shader ->	Successfully compiled
[14:23:36]	SUCCESS | Shader program ->	Successfully linked
[14:23:36]	INFO    | + Loading Shaders "Resource/Shader/GaussianBlur.shad"
[14:23:36]	SUCCESS | Vertex Shader ->	Successfully compiled
[14:23:36]	SUCCESS | Fragment Shader ->	Successfully compiled
[14:23:36]	SUCCESS | Shader program ->	Successfully linked
[14:23:36]	ERROR   | Failed to open file "Assets/defaultCubeMap.cubemap"
[14:23:36]	INFO    | + Loading Shaders "Resource/Shader/CubeMap.shad"
[14:23:36]	SUCCESS | Vertex Shader ->	Successfully compiled
[14:23:36]	SUCCESS | Fragment Shader ->	Successfully compiled
[14:23:36]	SUCCESS | Shader program ->	Successfully linked
[14:23:36]	ERROR   | Failed to open file "".
[14:23:36]	INFO    | - Unloading scene
[14:23:36]	ERROR   | Failed to load scene
[14:23:36]	        |
[14:23:36]	        |------------------------------------------------------------------------
[14:23:36]	        |
[14:23:43]	INFO    | + Loading Game Object "BackGroung"
[14:23:43]	INFO    | +	 Adding transform data to new gameObject
[14:23:43]	INFO    | + Loading Shaders "Resource/Shader/Sprite.shad"
[14:23:43]	SUCCESS | Vertex Shader ->	Successfully compiled
[14:23:43]	SUCCESS | Fragment Shader ->	Successfully compiled
[14:23:43]	SUCCESS | Shader program ->	Successfully linked
[14:23:43]	INFO    | +	 Adding Sprite to new gameObject
[14:23:43]	SUCCESS | Loaded texture "Assets/BlankSprite.png"
[14:23:43]	        |
[14:23:43]	        |------------------------------------------------------------------------
[14:23:43]	        |
[14:23:43]	INFO    | + Loading Game Object "Button_01"
[14:23:43]	INFO    | +	 Adding transform data to new gameObject
[14:23:43]	INFO    | +	 Adding Sprite to new gameObject
[14:23:43]	SUCCESS | Loaded texture "Assets/ButtonPlay.png"
[14:23:43]	INFO    | +	 Adding button script to new gameObject
[14:23:43]	INFO    | +	 Adding box collider 2D to new gameObject
[14:23:43]	        |
[14:23:43]	        |------------------------------------------------------------------------
[14:23:43]	        |
[14:23:43]	INFO    | + Loading Game Object "Button_02"
[14:23:43]	INFO    | +	 Adding transform data to new gameObject
[14:23:43]	INFO    | +	 Adding Sprite to new gameObject
[14:23:43]	SUCCESS | Loaded texture "Assets/ButtonLoad.png"
[14:23:43]	INFO    | +	 Adding button script to new gameObject
[14:23:43]	INFO    | +	 Adding box collider 2D to new gameObject
[14:23:43]	        |
[14:23:43]	        |------------------------------------------------------------------------
[14:23:43]	        |
[14:23:43]	INFO    | + Loading Game Object "Button_03"
[14:23:43]	INFO    | +	 Adding transform data to new gameObject
[14:23:43]	INFO    | +	 Adding Sprite to new gameObject
[14:23:43]	SUCCESS | Loaded texture "Assets/ButtonQuit.png"
[14:23:43]	INFO    | +	 Adding button script to new gameObject
[14:23:43]	INFO    | +	 Adding box collider 2D to new gameObject
[14:23:43]	        |
[14:23:43]	        |------------------------------------------------------------------------
[14:23:43]	        |
[14:23:43]	INFO    | + Loading Game Object "Loading"
[14:23:43]	INFO    | +	 Adding transform data to new gameObject
[14:23:43]	INFO    | +	 Adding Sprite to new gameObject
[14:23:43]	SUCCESS | Loaded texture "Assets/Loading.png"
[14:23:43]	        |
[14:23:43]	        |------------------------------------------------------------------------
[14:23:43]	        |
[14:23:43]	INFO    | + Loading Game Object "Loading"
[14:23:43]	INFO    | +	 Adding transform data to new gameObject
[14:23:43]	INFO    | +	 Adding Sprite to new gameObject
[14:23:43]	        |
[14:23:43]	        |------------------------------------------------------------------------
[14:23:43]	        |
[14:23:43]	INFO    | +	 Transform parent found
[14:23:43]	INFO    | +	 Transform parent found
[14:23:43]	        |
[14:23:43]	        |------------------------------------------------------------------------
[14:23:43]	        |
[14:23:43]	SUCCESS | Successfully loaded a new scene
[14:23:43]	        |
[14:23:43]	        |------------------------------------------------------------------------
[14:23:43]	        |
[14:23:44]	INFO    | + Loading Game Object "PlatformGround"
[14:23:44]	INFO    | +	 Adding transform data to new gameObject
[14:23:44]	INFO    | + Loading Shaders "Resource/Shader/Default.shad"
[14:23:44]	SUCCESS | Vertex Shader ->	Successfully compiled
[14:23:44]	SUCCESS | Fragment Shader ->	Successfully compiled
[14:23:44]	SUCCESS | Shader program ->	Successfully linked
[14:23:44]	INFO    | +	 Adding Model to new gameObject
[14:23:44]	INFO    | +		 Loading new OBJ file
[14:23:44]	        |
[14:23:44]	        |------------------------------------------------------------------------
[14:23:44]	        |
[14:23:44]	SUCCESS | Loaded file "Assets/wallrock.obj"
