[15:07:47]	INFO    | Creating GLFW Window
[15:07:50]	INFO    | Creating ResourcesManager
[15:07:50]	SUCCESS | FreeType -> loaded font : "Resource/Fonts/abnes.ttf"
[15:07:50]	SUCCESS | FreeType -> loaded font : "Resource/Fonts/arial.ttf"
[15:07:50]	SUCCESS | Loaded texture "Assets/none.png"
[15:07:50]	INFO    | + Loading Shaders "Resource/Shader/Text.shad"
[15:07:50]	SUCCESS | Vertex Shader ->	Successfully compiled
[15:07:50]	SUCCESS | Fragment Shader ->	Successfully compiled
[15:07:50]	SUCCESS | Shader program ->	Successfully linked
[15:07:50]	        |
[15:07:50]	        |------------------------------------------------------------------------
[15:07:50]	        |
[15:07:50]	INFO    | + Loading Shaders "Resource/Shader/PostProcess.shad"
[15:07:50]	SUCCESS | Vertex Shader ->	Successfully compiled
[15:07:50]	SUCCESS | Fragment Shader ->	Successfully compiled
[15:07:50]	SUCCESS | Shader program ->	Successfully linked
[15:07:50]	        |
[15:07:50]	        |------------------------------------------------------------------------
[15:07:50]	        |
[15:07:50]	INFO    | + Loading Shaders "Resource/Shader/GaussianBlur.shad"
[15:07:50]	SUCCESS | Vertex Shader ->	Successfully compiled
[15:07:50]	SUCCESS | Fragment Shader ->	Successfully compiled
[15:07:50]	SUCCESS | Shader program ->	Successfully linked
[15:07:50]	        |
[15:07:50]	        |------------------------------------------------------------------------
[15:07:50]	        |
[15:07:50]	SUCCESS | Opened file "Assets/defaultCubeMap.cubemap"
[15:07:51]	INFO    | + Loading Shaders "Resource/Shader/CubeMap.shad"
[15:07:51]	SUCCESS | Vertex Shader ->	Successfully compiled
[15:07:51]	SUCCESS | Fragment Shader ->	Successfully compiled
[15:07:51]	SUCCESS | Shader program ->	Successfully linked
[15:07:51]	        |
[15:07:51]	        |------------------------------------------------------------------------
[15:07:51]	        |
[15:07:51]	INFO    | + Loading Shaders "Resource/Shader/Sprite.shad"
[15:07:51]	SUCCESS | Vertex Shader ->	Successfully compiled
[15:07:51]	SUCCESS | Fragment Shader ->	Successfully compiled
[15:07:51]	SUCCESS | Shader program ->	Successfully linked
[15:07:51]	        |
[15:07:51]	        |------------------------------------------------------------------------
[15:07:51]	        |
[15:07:51]	SUCCESS | Loaded texture "Assets/Loading.png"
[15:07:51]	INFO    | + Loading Game Object "Button_01"
[15:07:51]	INFO    | +	 Adding transform data to new gameObject
[15:07:51]	INFO    | +	 Adding Sprite to new gameObject
[15:07:51]	SUCCESS | Loaded texture "Assets/ButtonPlay.png"
[15:07:51]	INFO    | +	 Adding button script to new gameObject
[15:07:51]	INFO    | +	 Adding box collider 2D to new gameObject
[15:07:51]	        |
[15:07:51]	        |------------------------------------------------------------------------
[15:07:51]	        |
[15:07:51]	INFO    | + Loading Game Object "Button_02"
[15:07:51]	INFO    | +	 Adding transform data to new gameObject
[15:07:51]	INFO    | +	 Adding Sprite to new gameObject
[15:07:51]	SUCCESS | Loaded texture "Assets/ButtonEdit.png"
[15:07:51]	INFO    | +	 Adding button script to new gameObject
[15:07:51]	INFO    | +	 Adding box collider 2D to new gameObject
[15:07:51]	        |
[15:07:51]	        |------------------------------------------------------------------------
[15:07:51]	        |
[15:07:51]	INFO    | + Loading Game Object "Button_03"
[15:07:51]	INFO    | +	 Adding transform data to new gameObject
[15:07:51]	INFO    | +	 Adding Sprite to new gameObject
[15:07:51]	SUCCESS | Loaded texture "Assets/ButtonLoad.png"
[15:07:51]	INFO    | +	 Adding button script to new gameObject
[15:07:51]	INFO    | +	 Adding box collider 2D to new gameObject
[15:07:51]	        |
[15:07:51]	        |------------------------------------------------------------------------
[15:07:51]	        |
[15:07:51]	INFO    | + Loading Game Object "Button_04"
[15:07:51]	INFO    | +	 Adding transform data to new gameObject
[15:07:51]	INFO    | +	 Adding Sprite to new gameObject
[15:07:51]	SUCCESS | Loaded texture "Assets/ButtonQuit.png"
[15:07:51]	INFO    | +	 Adding button script to new gameObject
[15:07:51]	INFO    | +	 Adding box collider 2D to new gameObject
[15:07:51]	        |
[15:07:51]	        |------------------------------------------------------------------------
[15:07:51]	        |
[15:07:51]	        |
[15:07:51]	        |------------------------------------------------------------------------
[15:07:51]	        |
[15:07:51]	SUCCESS | Successfully loaded a new scene
[15:07:51]	        |
[15:07:51]	        |------------------------------------------------------------------------
[15:07:51]	        |
[15:07:53]	INFO    | + Loading Game Object "DirtBlock"
[15:07:53]	INFO    | +	 Adding transform data to new gameObject
[15:07:53]	INFO    | + Loading Shaders "Resource/Shader/Default.shad"
[15:07:53]	SUCCESS | Vertex Shader ->	Successfully compiled
[15:07:53]	SUCCESS | Fragment Shader ->	Successfully compiled
[15:07:53]	SUCCESS | Shader program ->	Successfully linked
[15:07:53]	        |
[15:07:53]	        |------------------------------------------------------------------------
[15:07:53]	        |
[15:07:53]	INFO    | +	 Adding Model to new gameObject
[15:07:53]	INFO    | +		 Loading new OBJ file
[15:07:53]	        |
[15:07:53]	        |------------------------------------------------------------------------
[15:07:53]	        |
[15:07:53]	SUCCESS | Opened file "Assets/wallrock.obj"
[15:07:53]	SUCCESS | Opened file "Assets/wallrock.mtl"
[15:07:54]	SUCCESS | Loaded texture "Assets/wall_rock_basecolor.png"
[15:07:55]	SUCCESS | Opened file "Assets/dirt.mtl"
[15:07:55]	SUCCESS | Loaded texture "Assets/Dirt_basecolor.png"
[15:07:55]	INFO    | +	 Adding box collider 3D to new gameObject
[15:07:55]	        |
[15:07:55]	        |------------------------------------------------------------------------
[15:07:55]	        |
[15:07:55]	INFO    | + Loading Game Object "StoneWall_1"
[15:07:55]	INFO    | +	 Adding transform data to new gameObject
[15:07:55]	INFO    | +	 Adding Model to new gameObject
[15:07:55]	        |
[15:07:55]	        |------------------------------------------------------------------------
[15:07:55]	        |
[15:07:55]	SUCCESS | Opened file "Assets/wallrock.mtl"
[15:07:55]	INFO    | +	 Adding box collider 3D to new gameObject
[15:07:55]	        |
[15:07:55]	        |------------------------------------------------------------------------
[15:07:55]	        |
